,Needs
443,"I find it very difficult that I feel like communication from TU Delft is going slowly and that therefore my normal life would soon get going slowly. I also feel like TU Delft is not really waiting for it to open again. This also because cafes in faculties are still closed, while they would be open again from the government. Why is this not done while this can get the social life of students going again? My studies at the moment don't mean anything to me - I don't really enjoy it. I really hope that TU Delft can continue and think about what students need. Especially in this time."
444,More on Campus Education. I cannot stress this enough.
448,I Want to Continue Studying Online. I Already Lost My First Master's Year Due to Covid and Learned to Live Like This. I am not in the mood to have to attend class or show up for exams. Everything online just makes it soo much nicer.
449,would be interested in the result of the wellness check
454,"It would be nice if teachers supply their curriculum in different ways: ie video, slides and text, so that everyone can choose what they want to use because not everyone can learn in the same way."
455,Social Interaction. Escape from the routine.
457,"I Need the Tu Staff to Actual Do Their Job. I am Waiting for Answer from the Exchange Office and Student Affairs Staff which They Seem Not To Want To Answer because it would mean extra off-time work for them, Although My Inquiry is very Rightful. As Each Quarter Goes by Me and All My Tu Student Friends Lose Hope in The Tu Especiate in How Coldly They Treat Students and Their Needs. Maybe it is special as an aerospace student with Extra pressure but it really blows my mind how non-chalant and not professional some TU staff is. Teachers are good, but exchange officers are a joke that has no regard for students."
458,I Don't Know
459,Not really experiencing problems
460,"For the Coronacrisis I didn't think it was great to be in very large groups, think of shopping in the city, but I feel that this has been worsened by sitting at home."
461,"Working from home is not possible in your bedroom, then they ask at Proctored exams that everything is completely tidy and you actually have to sit in a completely white room without anything on the walls really feels like those people don't think about real life at all. In addition, they also ask for silence while you can't do anything about it when a roommate is talking in front of your door. Point 3 unfairness in exams professors often also say that they make exams more difficult even if it is not entirely open book because some people do grab something that is not allowed. If you do not do that, you will be clear to it, for example, poor communication of teachers in an exam where you had to protest with certain questions to get points for it, the teachers then say that they have let a number of students know that if you have A certain thing has shifted something you should say to get points, but they say that nowhere at a point where everyone can read it."
463,"I am less motivated at home to get started, in contrast to the TU where you also see other students at work. I also had to catch up with a lot of work at a number of courses at the end, because you could not go to physical home lectures and I didn't go to work very well at home."
468,not necessarily something that the school can do about it
469,The possibility of following online college is a big plus. It would be nice if this was live with an option to be able to watch on demand later. Working in groups for developing assignments in their own time is also very valuable
472,More tired and concentration problems. is often accompanied by motivation problems and well -being Sometimes this is better than other times.
474,A Feeling of Community
476,The university sometimes pretends that she doesn't understand and does not see how heavy the students (can) have it in this time. This of course is not entirely from the TU but also from the government. The young people are generally very (perhaps the most) disadvantaged and we cannot keep it up for much longer.
478,"Taking exams at home was almost impossible for me. Last year during the measures I did not pass any exam, while I had achieved 42 ECTs in Q1 and Q2. This was a big damper for me, so I couldn't start a master this year"
479,Lack of options to be able to sit physically somewhere with fellow students with enough space and tranquility to really work.
480,I need at Least 50% Off the Fees to Make My Life Easier and Actually Be Paid Back For All The Facilities That I Had No Access To For 1 And A Half Year Now
481,find it difficult to contact supervisors for small questions and to ask for feedback
482,"Due to the loan system, quickly graduating is really a must. This causes a lot of pressure with me and students around me. Studying a year longer is not a disaster. No, but it costs me 10000 euros (home and study)."
484,"Having to study alone at home has caused most problems. First of all, I am someone who studies better outdoors, in a real study such as the library. There I can focus on my work, and I am surrounded by people and friends who are also studying and motivating me to continue working. I can also ask them for help if I get stuck and we can compare results. This helped me a lot in my bachelor at the TU. Because of COVID-19 I no longer have access to a similar environment and my productivity has fallen incredibly. I also know very few people on my master because I am a 1st year Master's student, and I only see my fellow students as names on my screen during college. So I hardly have anyone with whom assignments can discuss and with whom I can work together when I get stuck. This makes it considerably much more difficult to complete all deadlines in time. Finally, many lecturers have come up with that because of online education deadlines are a good idea to keep students involved in the lectures and the material. However, now I have so many deadlines (in Q2 on average 6 a week) that it is no longer possible to keep up with all my courses in terms of time and mentally, which means that I already have a delay without my reduced productivity. Also no direct contact with lecturers is difficult, because I have to look for a thesis supervisor in the future, and that would be a lot easier if I had already spoken my lecturers face-to-face."
485,"Economical Issues, But I Hope to Start Working Soon As Delivery Until Something Else Comes and Being Able to Afford the Living Costs."
486,"loneliness, boring"
487,"Online lectures work well with many teachers, so great to continue with. Give teachers enthusiastically to speak about their profession, because with some teachers who themselves appear tired and not very enthusiastic, I find it extremely difficult to keep my attention."
489,im good
491,"that TU Delft compared to other universities is at least committed, they only say that, but they do less than can and is allowed by the government to support the students"
492,"What I (And Many People I Talk To) Really Need is a more Relaxed Study Environment. The only people this school (at Least the Ae Faculty) is Tailored to are the success-oriented overachievers and Everyone Else is just left to rot in their misery when they realize that this school dosn'tn'tn'tn'tn'tn'tn'tn'tn'tn'tn'tn'tn'tn'tn'tn't Seem about anything else but success. Just Ask People if they're Feeling depressed or anxious because of their studies or the study environment. Also, we don't need all the fancy well-Being workshops and study counseling and all this stuff that sounds great on paper. What we really need is a Lower workload, More Days Off (You Can't Expect People to Work Their Ass Off for the Entire Year and Give Them One Week of Holidays in Between) and a Vibrant Student Life With Plentiful Extracurricular Activities. and on the topic of extracurricular activities; I got an impression that all these extracurricular workshops and courses are promoted as things to make you study more effective. As in: yeah, take a pottery class to take your mind of studying so you can study better later or sports are great for you, do sports so you can study better. And for the love of God, please hire more psychologists, we desperately need some. and More Educational Staff. These Poor Souls are just as well overrayed as we are."
498,Please Consider a Reduction of Fees for International Students. It is not fair that we are paying full fees fees the pandemic.
506,"This year there was hardly the opportunity to be part of a group with which your own work puts things into perspective and learning others was not really in it. This has caused a lot of stress for me, although this has been better in recent weeks"
507,"Mainly a more difficult balance between private and study. Because of Corona I sat down much more about my studies, so I had less time for family and friends. I also came out less and now I notice that that was really not good for me."
512,"Motivation problems, if I am not (compulsory) at the TU for lectures, I will postpone them too far, so I will eventually postpone courses to next year"
513,"reduced motivation; Much more difficulty with the mentally 'closing' of your studies at the end of the day, so that you are actually busy with your studies 24/7, which is very tiring; Working from home is becoming increasingly difficult, I really need the environment of a faculty to start; Because of the home working you have few spontaneous social interactions, I miss this very much; Seeing little to no fellow students is very hindering your design process (with IO), you just need those interactions for the progress of your process"
516,I Don't Feel Part of TU Delft
518,"For Master Thesis students who work individually on a report, there had to be more guidance. Perhaps that makes the thesis 'easier', but now it was impossible to achieve for a large part of the students. Reservations per half day part was terrible. I know it couldn't be otherwise, but 8 hours a week to the library was really too little. Tuition fees was way too much in my opinion, because I have been to the university 10 times. In addition, I only had contact a few times, so it felt like a LOI independent education."
523,I missed personal contact during graduation phase and has been delayed for many months.
524,"If you don't live in Delft like me it is very difficult to make friends of the study, the only good friends I made, I made during the intro week"
526,Lack of social interaction in real life.
529,Online exams is very annoying. This is the most important thing to have the campus again as quickly as possible
530,Online education is just not worth a jerk
532,"High workload. Teachers say easily: 'look back at home' or 'you have to sit on your spare time', but this is often not easy since a lot of time is in the subjects and staying with it. The meetings with project groups also take a lot of time. In terms of project groups, the reason is given to combine different tracks for more diversity and input. I understand this reason but makes it a lot more difficult to plan meetings since everyone has a different schedule. So a lot of time sits down in finding out which day comes out for a meeting. Sometimes you don't have to follow courses as a result and look back later. This makes it more difficult to keep up and feels a bit inefficient. In summary: a lot of work must be done, partly due to diversity in project groups, a lot of planning is required, often the result that meetings, among other things, take place on weekends and you actually no longer have 'free time' left."
534,"I am feeling a bit low, like the way I used to last year. My Efficiency is not the good and equally aftertaking some breaks, I just go back to being less productive."
535,"Because of an old concussion, I still have a little trouble looking at screens. Entirely online education was therefore not always nice to follow."
537,TU Delft to Make Things As Less Online As Possible
538,"I always believed that a 'sense of community' was not important. But after the coronacrisis I realize that I was wrong in that. As a graduating student at TU Delft (LR) I mainly have the feeling that when you're done you are a number that is checked. Because everyone starts and ends at a different time, you have little contact with your fellow students, the coronacrisis only made it harder. Ultimately, you are completely alone and you are only ready. Too bad that the last memories of student days are so individual and debilitating. I think that a system such as architecture with a fixed start time for everyone, fixed evaluation moments and a fixed end point would increase the feeling of togetherness and very probably a lot of thesis run -out."
539,"See previous answers, also refers to the quality of this check. Copy fit previous answer: What hybrid? Digital is not possible. The digital aspect must be better and higher quality. For this, material must be webcam+mic and the lesson has to be adjusted and improved for online lessons. The teachers do not do this on their own, these are lazy/tired and are busy. There can always be more lesson material, that money completely. Through digital sessions, teachers easily get rid of help and answer questions. Hybrid is not meaningful if part is still in poor quality for the online part. First improve the online part, only working with other students makes sense in hybrid education."
542,"I have felt more alone than ever before. I also find it difficult that I have been doing my master for a year, but no one I have now 'known' in real life. That is why I am also worried about projects that you have to form a group for next year."
544,"Little (spontaneous) contact with people. I sometimes feel lonely. Studying at home all day. Do everything in the same room (bedroom = everything). A lot with roommates, causing irritations. I can't travel."
546,"Well. annoying. What made me difficult this year in particular is that there has been zero comma zero spontaneous contact with other people. I have noticed that that is secretly quite important, to challenge yourself on a social level and to be active. In addition to all the other heavy trials of this year, I notice much less motivation for my studies. While I am now working on all kinds of internships and so a lot of you is being asked but you can also develop a lot. I think I have been able to develop to a lesser extent. I think we have been released too much because of the university. It is of course the question of who is the responsibility (about the well -being of students), but there was indeed a gap that could have been jumped in from the university. It is difficult for us as students to keep you involved with a pandemic and (for me then) to deposit me on my professional career. I think, I would have benefited if there had been a little more eye (university -wide) for the impact what this has on students and recognition for how you feel. Idk. But I do think that many students feel that they kind of fail this year because it was not feasible for many students who set a high LAT for themselves (as I do) this year to meet those expectations. And that is just difficult!"
548,"The entire coronage finish just cuts in, it is simply terrible to 'study' at home and I want to return to normal. Possibilities to meet other students and the like should be more available."
553,"Loneliness, feeling a threshold to meet people, bad habits in terms of food and rhythm, a lot of stress due to moderate divorce working time, study time and time to relax, a lot of uncertainty in my thesis process because you only know what others do"
554,"I feel like I need more time ... there are too many things to do and too little time until the start of exam season. I Feel Very Overhelmed, So Flexibility from Professors would be Amazing (Even Though They're Already Being Very Flexible, So Requesting This Feels Like Asking Too Much)."
555,"Taking online exams was not nice. As a graduation student, I feel forgotten now that the study time is reserved for physical education, and as a graduation player I have no courses, so I am no longer allowed to use self -study spots because they are no longer there."
557,Online lectures were very bad.
558,"TU Delft does a lot about it in general Nivieau, the teachers pretend that there are no problems. Students get stuck with courses and can hardly get any help. Of course, teachers have the same problem and they cannot blame them. It would be better if teachers would make some effort to make the best of the situation, not all solutions always have to get rid of higher."
559,Little concentration and loss of motivation. I am not friends with anyone. I cannot find a room because of the bizarre bustle that is now in the room market of all the current 1st year and the upcoming 1st year looking for a room. had too few contact hours for many subjects. Bad communication with teachers
560,Friendship :(
566,Lack of social contact
567,I have noticed that my concentration eye is very small. Because of this I don't perform at my best. And I have the idea that not all teachers realize what the students go through this period.
568,"I often felt lonely because I had little contact with people. Furthermore, I often felt locked up because I could no longer practice my sport. Furthermore, I felt like my mother lay on her deathbed and none of the university asked how I was doing, but left me alone. At such a moment the initiative must come."
570,"The administration (from the ae faculty in My Case) should be more transparent about the upcoming months and the education that we will recyive. Professors Have Expressed Their Satisfaction with the Current Learning Model, Stating that the Performance of the Students Have Increased With Less Stress On Their Part. Hence, it does not seem as thought they are concerned with how long it will take to get back to on-site learning. AltheHe I am a Tu Delft Student, I have never set foot in my faculty which makes it difficult for me to associate myself to the community and feel the energy of being at a scientific university. Althegh the Current Education Has Been of High Quality, It Must Be Kept In Mind That It Is Not Sustainable - Engineering Students Need The Stimulus of Learning Around Others and Having Access to Labs."
571,I find it annoying that there is no clear feedback on these surveys.
572,Little movement. Little new experiences.
579,"Especially the contact via Zoom is not the same as the contact on the faculty. A conversation with a professor at the faculty is much more efficient. In Zoom you are only sending back and forth and it just doesn't always look good. The sketching of examples is also much more difficult, but again, I understand that there is no different thing at the moment."
582,"The quality of education was very minimal through the home working group. Social and school life were mixed up, so that there was continuous stress of study. In addition to missing social contacts, I also missed gaining new knowledge. I experienced studying at home, especially when the breakthrough on my own knowledge then really broadening my knowledge."
583,Possibility of physical social contact inside and outside faculty
584,TU Delft Housing Problem is alarm. You are evicting your students
588,"Especially less physical lesson made me get to know fewer people and also that I have spoken to virtually none of my coaches. I also have the idea that online lessons always had a very short time to ask questions and could not really work with fellow students, I learned less and had less motivation to improve things."
589,"loneliness. Studying alone all day at home, the study pressure and feedback for the design projects come very personal and now I really have the idea that I am all alone for it. That has become too much for me several times."
590,"Many things are too difficult/complicated arranged. To find out somewhere you often have to click via 3 different BrightSpace pages, simplicity and convenience could cause a lot of brightness"
591,"It is allowed to go to the faculty again, but cannot schedule guidance at those times. I need physical help for some courses"
594,Graduation places do not apply to people who do their literature study. That's a bit crooked.
595,"Have to make projects or homework tasks on your own removed all motivation, and went very badly or did not happen! Because of this I dropped quite a few courses because I just didn't get anywhere with those assignments. Provide more assignments in groups !!! If you also want to test individually, do so with an oral or exam"
597,"More connection with the uni and teachers. More on the uni studying, more help with how studying etc."
600,- Nowhere being able to gain ideas for designing - difficult communication with fellow students - difficult fellow students or teachers can ask small questions - no separation between studying and leisure time
603,"The combination of the workload and Corona has ensured that my battery for studying is just a bit empty. Just a break does not feel like an option due to the student loan, but as a must. I miss the understanding of the mental health of students in Corona. I understand that they should set requirements when getting a profession, it would all be really nice if there was more room to postpone studying. Studying in a student house is just quite heavy and because of the fact that there are no nice outings or something to look forward to you get into a grind of studying. The home studying results in your room becoming your place for everything, which does not make it easy to take."
604,Limiting freedom and imposing measures that are not clear whether it will really help. My confidence in the government has fallen even further.
606,The TU expected much more from students but gave much less
607,Too few cafes with friends/fellow students. RPNOW is the worst program for exams ever.
615,"being unable to create a sense of community on TU, received little support, not really experienced diversity of education: all subjects were given the same shape, some teachers also do not seem to take the trouble to teach TU for example if possible But prefer to stay at home."
616,"In online counseling (architecture) you always had to have things ready to show. Physically on the studio, sketches are sufficient, this is much less stressful."
617,I think it is difficult to see that you are less able to feel because of certain things. And because of that you can start doubting about yourself and end up in a kind of routine. I think it is important that you are also encouraged to go out and not sit with yourself.
618,"Since the restrictions are down, Various Organizations Can Organization Social Gatherings as the batch of 2020/2021 Did not have much opportunity."
619,Watching a lecture without assignments is not motivating for me. better if I have to apply it right away
620,We were a lot of student this academic year. Many of us did not get the electives we wanted. Chosing a Course was a speed competition! I Felt the Commercial Value of my Presense to the Bone
630,"less and less motivation to do things, less social contact and more friction with housemates and friends, less well planning"
632,More connection with students and professors. Professors who also show live study -related things for the camera.
633,"Working from home is not productive, especially with more open assignments such as an article or writing a thesis, it is difficult to stay concentrated enough"
637,"I have the idea that TU Delft is not genuinely concerned with the well -being of the students. In my opinion, TU Delft is very concerned about not running up image damage. Around January of the academic year, TU Delft said that there was no room for self -study places at the university (while according to the corona measures and other universities this was possible). Only when the media found that the well -being of students did not come into action and suddenly was something possible in terms of self -study. In addition, it would be good if TU Delft and universities as a collective follow the importance of studying and college at the university more expresses, so that this is also taken into account in the Lower House."
638,"Because of the coronacrisis and the lockdowns you often have nothing to do but study. Furthermore, nothing else is open or undertaking. This often ensures long end -of -the -day days, more stress and little mental rest, especially during exams. In these periods there is often nothing else to do than blocks for the exams, this combined with the stress of Remote Proctoring exams (I do everything well, I have scanned my room well, I do not behave strangely, I may be seen as a fraudist, My exam is declared invalid etc.) ensures a restless period."
639,"Professors and other TU employees who are difficult to reach. BrightSpace is often unclear, which means that different deadlines are mixed up"
641,"I Experienced online education as Positive in the Sense: - We Could Easily Take Screenshots of Slides/Demos/Notes Written by the Teacher - It's Much Esier to Focus than We would have lectures in a big hall Like the Aula E.G. Notes would be harder as well - it takes effort to ask questions - We can decide for ourelves whether a lecture/Q & a session is horthding, if not, you can simply leave the call, thus spending time more efficiently all in all, i Hope Tu Delft Will Continuous Offering Online Sessions;)"
648,Little motivation to study.
650,My ADHD has become a worse problem and my depression has emerged and has actually become a major role and big problem in my life. I also experienced that I could no longer work in just a student room and so I moved to my parents so that I had more space and separation of half -days.
651,"I liked studying for the coronacrisis. And it takes a lot of time and energy, but if it is fun (with the whole experience of lecture banks and popping together during home lectures) then that is not a problem. During the coronacrisis the nice thing went off and I became quite unhappy. I now have to spend more time in my studies, often with less results. And that while it is not fun anymore. That is very demotivating."
655,Maybe psychological help/
657,"social isolation; Domestic emotional violence but no other place to live by the living crisis.; hopelessness; After having kept it somewhat, depressive feelings as a result"
660,"Because everything is online, breaks are usually skipped. At lectures, teachers give only a 5 -minute break and go on for too long and with meetings it is expected that you will go from one meeting to another. As a result, there is no time to process the knowledge. If the College follows the norm at home, it would be nice to get enough break."
662,mental fatigue
664,Teachers who almost ignore you because that is easy online.
665,"Discover what I find infresqnt for my graduation, I don't know which direction I want to go. Normally you come into contact with other people much more, you walk past labs and graduation spaces, you see teachers during lectures you can start a conversation without obligation."
666,"Social contact with fellow students is much less, then you sometimes feel stressed and alone and you cannot put things into perspective. Regularly accessible contact with teacher/coach is also more difficult, so they do not have a good picture of your progress. And sit behind your desk all day long."
667,"Try to give people time to create a study/life balance, Everyone is Going Full Study More and More."
668,I had contacted the study supervisors when I had been tested positively for Corona and I received no guidance at all. It would have been better if I never contacted them.
670,concentrate on working on study. Sitting at home is difficult to keep work and relaxation apart.
673,I need to stop feeling like I'm talking to a robot that striker out stock response every time I approach an administrative member of the staff.
677,"I feel very alone and find it very tiring to have to sit behind my screen all day every day. I also have the feeling that the moment you are doing badly and as a result you can no longer fully follow the study program that nobody fascinates or you want to help you even ask for help and indicate your situation. During the Coronacrisis I really got the feeling that there is no attention for the individual unless you are the best student, while it seems to me that the goal is to create a pleasant environment for as many students as possible. For me, if you ask for help several times you will not be completely ignored."
680,"I know it's complicated and that tu delft is working on it, but doing more covid-proof activities on campus would be so motivating and positive for many of us that i think it's worth making the effort to research more strategies on how to make this a reality. Studying a Master's at Tu Delft as an International Student is Already a Challenging Experience on its own, and I'm Lucky to Be Surrounded by Wonderful Friends and Flatmates, But There Are Many People in A worse Situation, Especally 1st-Year Students. All this affects our mental health and it's a challenge to keep a balance between being productive and efficient with our studies, and having a fulfilling social life. This is why I think it's very positive for many or us to have on-campus activities (Under Government RestRictions, or Course)."
681,"Please for all the international students, if you want to keep them Happy, I would appreciate at 30 percent reduction of the tuition fees. We have paid to use the facilities, get Practical Experience from Doing the Group Projects (Building Our Wing Box), Meeting People, Learning about Cultures and much more. We have missed everything and not just that, our families live far away from us so we can't visit them due to this crisis."
682,I would like it if there was free coffee in campus :)
686,"Asking help online from teachers is difficult. I also did not feel comfortable with Lesson on campus in September, with the idea that your group mate goes to illegal parties or has 20 housemates. I didn't like to expose myself to that for 1 morning physical lesson. I also had the elderly in my area .. so you want to be careful"
688,Maintain social academic contacts. Little physical contact ensures that you keep poor contact with fellow students and the size of your group of contacts is getting smaller. While this is essential for the future field.
692,"Contact with teachers. I think the workload in some departments is so high that students are put behind, I now experience mainly with my thesis. Guidance with the start of my thesis. Compared to other directions, Structural does not really dander, I find. The BrightSpace page is heavily substandard. The fact that faculties make their own regulations and seem to act independently of each other in relation to graduation presentations, study places etc. does the fact that TU Delft is one university."
696,"Teachers are difficult to understand about Zoom and their comments can therefore seem to be very negative, which reduces motivation"
697,"Normally you would immediately make friends if you started in September. I didn't know anyone in Delft at all and apart from two project groups that has not changed. At the beginning of the year I traveled up and down for the weekly project hours until the Lockdown went back in and I was at home for 5 months without being able to do anything else. When we were finally allowed to come to the campus again, the faculty also decided that it was only once every two weeks, or 3 times in the entire 4th period. Furthermore, more than 10 hours a day studying was not unusual."
699,Just one mail in a month to check on student's health is not worth it.
700,Stress on Graduating on Time and about Paying the International Fee for the Extra Months I Take For Graduating
701,For on Campus Activities Lecture Are The Most Important because It’s Getting Very Hard to Concentrate Turning Online Lectures
703,"My Strongest Need Right Now would be to socialize with people. I'm going home in a couple of week, then I'll meet my friends and it will be fine, but duration this year I've felt extremely lonely. at some point the University Established this walk with a fellow student program, which I thought was something interesting to meet new people and go outsid a bit more, but I was in a place where I could be the energy to do anything, soo I never participated in it, which made me feel just worse. Now I Feel A Bit Better, But There Were Some Really Dark Times Duration this year. Something I was really looking forward to when I enrolled in this university was participating in lectures (in presence) and meeting international students, and having those negated for a whole year really made me feel awful."
705,"Students must adhere to deadlines, but professors take all the time to assess exams. Online exams also often go wrong (from not being admitted to losing exams) with all the consequences for the students. It must also be taken into account the stress that online exams brings through everything that can go wrong."
709,I have hardly had any contact with my fellow students from the same master program. That was very unfortunate.
710,More Relaxed Social Interaction with Teachers is Difficult when I Personally Don't Want To Go to Campus Too Much (Due to the Risk of Infection). The Tutoring is nice but I miss getting to know my teachers more on a personal level.
711,"That the government often did not mention universities in press conferences, which ensured that many people around me did not see no bright spot. It is incredibly important for students to be among their fellow students at the faculty, something that I think has been constantly underexposed. In this way you give people, who, according to the government, form the new generation that will have to solve world problems, a false start. Add that to the loan system and the house shortage, and you create a generation that will have a very difficult start."
712,Online examination is unnecessarily extra stressful. The possibility that something can fall out or does crazy brings extra things to think about.
714,problem in the home situation
716,Little communication about the possibility for study places. Also little opportunity to study there more often in the week.
717,"I personally do not find the questions of the survey in the goal. I expected that I could specifically indicate which things I would like to see next year and which not. Hence this list now: - I do not appreciate hybrid education forever. I understand that this next academic year (at the beginning of the year) still has to be done, but I don't want this forever. I function much better if I get physical lessons and can talk to others. - It is awkward if you have lectures on the campus in the morning and online in the afternoon. My travel time takes longer than the break. - I felt alone. - It is nice if people are wearing their camera at a lecture. That way you still get a little contact. This could be stimulated (not forced). It is also finer for the teacher."
718,"I was not studying the moment the crisis started. As a result, I noticed that I was lagging behind fellow students when I started studying again. They were much more agile with and more used to the digital and working from home. I also felt even more invisible and only in my study process because I did not follow the regular program. The initiative must come from me if I need help or something, and I understand that, but it is quite annoying to have to ask for help every time and to ask for an exception and to have to do that yourself. If I don't do that, I will just forget. That feels annoying. It puts an extra pressure with me, while I am already disappointed that I can't just come with the rest. It would be nice if teachers or study advisers occasionally also check with the people they know they are not following the regular program whether everything is still okay. But I also know that this is much to ask, and I have to say that the teachers at my faculty are really super compassionate and easy, so if you ask, then almost everything is okay."
727,"lack of social contact No clear schedule for lectures (there is a schedule but I miss the dicipline to watch everything at that time everything is being recorded) Lectures OPNEME itself is not the problem, if lecture is recorded but I can physically go to college do I always."
734,"I have a lot of trouble studying outside the campus, studying on campus, with fellow students helps enormously to maintain my motivation. Just studying is mentally very tiring."
738,Had little to no opportunities to get to know my fellow master students. Because of this I do not feel connected to my fellow students from the Master. This while I experienced this feeling during my bachelor very much.
741,"The feeling that you have to go after things is much bigger than when it was all physical. Sometimes you overlook things that you normally had not overlooked, because you were already there. So catching up moments are sometimes not taken into account online. Furthermore, talking a lot and studying outdoors helps to have a feeling that you are still among the students."
743,Making contact with fellow students was difficult in the first period and finding the right way to study and exchange study methods were difficult
745,Loneliness no motivation just studying/no social activities online lesson is not nice
748,"Less contact with fellow students, fewer busy days: feeling that I don't get out of my time what I would like"
750,"The coronacrisis does not only cause problems. For students who do not live in Delft, it is pleasant not to have to go to the campus for an activity that can easily be organized online."
751,"Personally, I sometimes had the feeling that some profesors simply had no respect for the students. This was mainly because they didn't want to make any effort to give our live lectures (yes I know that the priority of lectures are also relatively okay but the interaction is completely gone), then you will get a voice in mind that says; If they don't want to make any effort for us why would I make an effort for them and I don't mean studying the material because that should happen but especially it again at weird times the agenda to make the agenda in that one question time in the can be two weeks. Everyone has to adapt in this weird situation, but sometimes I have the idea that we as students are simply being put aside. I am not going to say what professor it was but I had a profession last semseter where all the college had been adopted and there was a questions hour once every 2 weeks for the 120 students who followed that course that was far too little, it was also that emails With questions also not answered properly, so that no interaction with the professor was possible at all. That then while it normally gives college for this course 6-8 hours a week and now apparently did not think it was worth releasing the same time a week for us."
755,"Group work was difficult because I did not know the others and there was no mandatory hour that you had to work on. Furthermore, if I started to run a bit for 1 box because I was sick or just had no energy for 1 day, it was very difficult to pick up the thread again, especially due to mental reason, from shit I walk behind and then every time you Will catch up getting a panicky feeling. It also does not help that I know none of the training, from the second or third year, and it feels like I can't talk about anything about box. 1 box that it was very good to me, was Numeric Mathematics Practicum who had fixed questions mornings/afternoon via Jitsi. That was very helpful."
756,"That a lot has to come from yourself. Going to work, staying motivated, persevering. Normally you pull each other through that."
757,"If you remotely cared about the mental health of students there are so many things you could do. The student counselors are a joke, a lot of people with health problems don't know that they can get help (extra time on exams, help with tuition, etc) you don't care to inform them. year after year students fill in the course evaluation forms giving valid criticism to pros and courses and they are consistently ignored. You know exactly which Courses/Study Programs are way too much for the credits givven and yet each year you do nothing. With covid you basically told students 'sucks to be you' and provid no help or allowances whatsoever."
758,Almost all of my friends at the TU seemed to be allowed to go to the campus for education or in an adapted manner at some times. This was not allowed to do this very specifically my volume of my studies. Because of this I felt undervalued and less motivated.
766,More Social Engagement from the faculty Maybe. In A Physical Capacity Especally Along with the Students Who Haven’t Been To The Faculty For Over A Year.
767,"I think, (which does not apply to me), that the alone (and certainly foreign) student had a hard time this time. I think involving these people, by organizing,, among other things, events, is very important."
768,"Lots of concentration, sleeping problems and feeling of time completely lost. (cause by having to do everything in the same loft, instead of a different location for lectures). no more rest"
771,Distraction during online lectures and the proliferation of platforms for online lectures and in particular exams. Clarity in particular online exams would be very nice
772,I would like it to be easier to get a workplace at the university.
777,It would be nice if the university Considers The Financial Precarity of International Students in The Current Situation.
778,"Start studying and continuing to study. At the start of the Corona this was still possible, but last semester I could no longer get to work, or if I started I quickly became distracted. Staring outside and doing nothing became more interesting than studying."
780,Too little contact with fellow students to be able to study together (even though I have personal contact with them) much more difficulty with online lectures than offline. I do not understand it less quickly and remember it less well (in addition to finding motivation to follow them).
781,"Little opportunity to work at TU Delft, no variety outside of study"
782,"I Feel very neglected bee an international student here. Be it the heavy tuition fees we pay or what opportunities we get, I always feel we are never considered while making decisions. I will have to always be for help just because we do not belong to this place. I Strongly Feel That Tu Delft is not a great place for an international student to be here. We pay so much but we get very little in return"
784,Phpaps it would be nice if the university could hold more sort of social events or have more project based classes.
786,"Halfway through my first master year the coronacrisis started. As a result, I lost contact with people from my master who I had just got to know, so that I actually don't know any of my master. There was a lot of attention for first-year bachelor's and master's students to get to know each other at the start of this academic year (very logical and rightly so!), But senior students still had fewer options for that. My motivation was mainly removed because every day I was in my room all day to study, relax, sleep and eat. Later when study places were released at the TU, that really got better. And finally I also suffered from few social contacts. I liked online drinks or coffee breaks in the beginning, but soon one thing I 'had to do' than I really wanted it. As a result, I really saw much less different people and I came into a rut in which I couldn't study well either."
788,"Before my internship Ben came through a professor of TU Delft at a company (EYA Solutions) that exploited students and used them as free employees in which they saw more than 40-hour working weeks such as normal and forced students with fraud and lies to do multi-year projects As graduation projects while there is only a few months in front of this. After having raised this at my faculty (BME) and have provided evidence that this had already happened to at least 12 other students, they decided to continue to work with this company and clearly show that the experience of their students is not makes up. I find this outrageous from TU Delft and has harmed their image with me and the other 12 students."
790,Could you Provide Both Online and Offline Education Solutions?
795,"Procedure during exams. This was and still has been a gross violation of my privacy in my opinion. I felt driven in a corner. My opposition was also ignored/rejected as an individual student. Because the motto was, if you don't accept what we want from you, we would like to see you again next year. I also want to add if the TU cannot agree with this statement. I also found it fairly outrageous to put certain responsibilities to the student. This is mainly aimed at the sanctions that would be affected if your internet connection suddenly ends. Fortunately this did not happen to me. But this has delivered a lot of stress, since the factor is influenced by largely exterene influences (e.g. living in a student flat of 15 high, +/- 400 to 500 people) that I can do relatively little about. For me, this showed that the measures that the TU has taken were not taken into account with the right to privacy, but more focused on functionality. My advice would therefore be to take into account the rights and values ​​of society and both the student in these types of measures."
797,"It is very difficult to see that working people have a lot of opportunity to go to the office and have a separate office available at home, while students have none of these options."
799,loneliness
800,loneliness. The feeling that I don't belong at the TU. The fact that I don't know my professors. The feeling that you are very much left to your fate. But this is also because I did not do my bachelor at the TU. Stress during exams whether my internet would be good enough or whether the neighbors would drill again. Uncertainty and loneliness about my choice for abroad/Master Electives and being difficult to talk to other students about it because you don't see them in real life.
